match_number,team1,team2,team1_total_experience,team2_total_experience,team1_average_experience,team2_average_experience,experience_difference,winner,winner_experience_status
38,Kolkata Knight Riders,Lucknow Super Giants,776,616,64.67,51.33,13.33,No Result,N/A
39,Delhi Capitals,Royal Challengers Bengaluru,897,989,74.75,82.42,7.67,Royal Challengers Bengaluru,Winner had MORE experience
40,Punjab Kings,Rajasthan Royals,808,596,67.33,49.67,17.67,Rajasthan Royals,Winner had LESS experience
41,Mumbai Indians,Sunrisers Hyderabad,861,484,71.75,40.33,31.42,Sunrisers Hyderabad,Winner had LESS experience
42,Royal Challengers Bengaluru,Gujarat Titans,1045,976,87.08,81.33,5.75,Gujarat Titans,Winner had LESS experience
43,Rajasthan Royals,Delhi Capitals,737,856,61.42,71.33,9.92,Delhi Capitals,Winner had MORE experience
44,Mumbai Indians,Chennai Super Kings,754,474,62.83,39.5,23.33,Chennai Super Kings,Winner had LESS experience
45,Sunrisers Hyderabad,Kolkata Knight Riders,573,923,47.75,76.92,29.17,Kolkata Knight Riders,Winner had MORE experience
46,Punjab Kings,Gujarat Titans,754,924,62.83,77.0,14.17,Gujarat Titans,Winner had MORE experience
47,Lucknow Super Giants,Mumbai Indians,634,858,52.83,71.5,18.67,Mumbai Indians,Winner had MORE experience
48,Delhi Capitals,Chennai Super Kings,894,612,74.5,51.0,23.5,Chennai Super Kings,Winner had LESS experience
49,Sunrisers Hyderabad,Punjab Kings,486,808,40.5,67.33,26.83,Sunrisers Hyderabad,Winner had LESS experience
50,Lucknow Super Giants,Royal Challengers Bengaluru,601,1012,50.08,84.33,34.25,Lucknow Super Giants,Winner had LESS experience
51,Delhi Capitals,Kolkata Knight Riders,802,935,66.83,77.92,11.08,Kolkata Knight Riders,Winner had MORE experience
52,Gujarat Titans,Rajasthan Royals,956,654,79.67,54.5,25.17,Gujarat Titans,Winner had MORE experience
53,Lucknow Super Giants,Chennai Super Kings,696,500,58.0,41.67,16.33,Chennai Super Kings,Winner had LESS experience
54,Mumbai Indians,Royal Challengers Bengaluru,870,1024,72.5,85.33,12.83,Royal Challengers Bengaluru,Winner had MORE experience
55,Punjab Kings,Delhi Capitals,765,711,63.75,59.25,4.5,Delhi Capitals,Winner had LESS experience
56,Gujarat Titans,Sunrisers Hyderabad,1015,491,84.58,40.92,43.67,Gujarat Titans,Winner had MORE experience
57,Kolkata Knight Riders,Royal Challengers Bengaluru,856,1036,71.33,86.33,15.0,Royal Challengers Bengaluru,Winner had MORE experience
58,Punjab Kings,Mumbai Indians,668,838,55.67,69.83,14.17,Mumbai Indians,Winner had MORE experience
59,Chennai Super Kings,Lucknow Super Giants,507,687,42.25,57.25,15.0,Lucknow Super Giants,Winner had MORE experience
60,Kolkata Knight Riders,Gujarat Titans,911,979,75.92,81.58,5.67,Kolkata Knight Riders,Winner had LESS experience
61,Royal Challengers Bengaluru,Punjab Kings,1056,834,88.0,69.5,18.5,Royal Challengers Bengaluru,Winner had MORE experience
62,Rajasthan Royals,Delhi Capitals,359,719,29.92,59.92,30.0,Delhi Capitals,Winner had MORE experience
63,Chennai Super Kings,Sunrisers Hyderabad,519,503,43.25,41.92,1.33,Sunrisers Hyderabad,Winner had LESS experience
64,Lucknow Super Giants,Rajasthan Royals,604,407,50.33,33.92,16.42,Rajasthan Royals,Winner had LESS experience
65,Mumbai Indians,Kolkata Knight Riders,1044,925,87.0,77.08,9.92,Kolkata Knight Riders,Winner had LESS experience
66,Gujarat Titans,Chennai Super Kings,1038,532,86.5,44.33,42.17,Gujarat Titans,Winner had MORE experience
67,Sunrisers Hyderabad,Royal Challengers Bengaluru,631,1113,52.58,92.75,40.17,Sunrisers Hyderabad,Winner had LESS experience
68,Lucknow Super Giants,Punjab Kings,611,816,50.92,68.0,17.08,Punjab Kings,Winner had MORE experience
69,Rajasthan Royals,Mumbai Indians,647,1012,53.92,84.33,30.42,Rajasthan Royals,Winner had LESS experience
70,Delhi Capitals,Kolkata Knight Riders,803,904,66.92,75.33,8.42,Delhi Capitals,Winner had LESS experience
71,Royal Challengers Bengaluru,Gujarat Titans,1090,1033,90.83,86.08,4.75,Royal Challengers Bengaluru,Winner had MORE experience
72,Rajasthan Royals,Sunrisers Hyderabad,640,513,53.33,42.75,10.58,Rajasthan Royals,Winner had MORE experience
73,Gujarat Titans,Rajasthan Royals,1063,652,88.58,54.33,34.25,Gujarat Titans,Winner had MORE experience
74,Royal Challengers Bengaluru,Gujarat Titans,1102,1072,91.83,89.33,2.5,Royal Challengers Bengaluru,Winner had MORE experience
